timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1599990738179,83,Query 1 MongoDB,200,OK,Groep 1 1-1,text,true,,225,277,1,1,http://localhost:5000/graphql,73,0,17
1599990738266,14,Query 1 MongoDB,200,OK,Groep 1 1-1,text,true,,225,277,1,1,http://localhost:5000/graphql,14,0,2
1599990738281,8,Query 1 MongoDB,200,OK,Groep 1 1-1,text,true,,225,277,1,1,http://localhost:5000/graphql,7,0,2
1599990738289,15,Query 1 MongoDB,200,OK,Groep 1 1-1,text,true,,225,277,1,1,http://localhost:5000/graphql,15,0,5
1599990738307,8,Query 1 MongoDB,200,OK,Groep 1 1-1,text,true,,225,277,1,1,http://localhost:5000/graphql,8,0,1
1599990738345,14,Query 1 MongoDB,200,OK,Groep 1 1-1,text,true,,225,277,1,1,http://localhost:5000/graphql,14,0,3
1599990738360,9,Query 1 MongoDB,200,OK,Groep 1 1-1,text,true,,225,277,1,1,http://localhost:5000/graphql,9,0,3
1599990738370,11,Query 1 MongoDB,200,OK,Groep 1 1-1,text,true,,225,277,1,1,http://localhost:5000/graphql,10,0,1
1599990738386,9,Query 1 MongoDB,200,OK,Groep 1 1-1,text,true,,225,277,1,1,http://localhost:5000/graphql,9,0,1
1599990738396,18,Query 1 MongoDB,200,OK,Groep 1 1-1,text,true,,225,277,1,1,http://localhost:5000/graphql,18,0,9
1599990738415,11,Query 1 MongoDB,200,OK,Groep 1 1-1,text,true,,225,277,1,1,http://localhost:5000/graphql,11,0,2
1599990738427,11,Query 1 MongoDB,200,OK,Groep 1 1-1,text,true,,225,277,1,1,http://localhost:5000/graphql,11,0,6
1599990738439,11,Query 1 MongoDB,200,OK,Groep 1 1-1,text,true,,225,277,1,1,http://localhost:5000/graphql,11,0,1
1599990738451,7,Query 1 MongoDB,200,OK,Groep 1 1-1,text,true,,225,277,1,1,http://localhost:5000/graphql,7,0,1
1599990738459,8,Query 1 MongoDB,200,OK,Groep 1 1-1,text,true,,225,277,1,1,http://localhost:5000/graphql,8,0,1
1599990738468,8,Query 1 MongoDB,200,OK,Groep 1 1-1,text,true,,225,277,1,1,http://localhost:5000/graphql,8,0,1
1599990738478,7,Query 1 MongoDB,200,OK,Groep 1 1-1,text,true,,225,277,1,1,http://localhost:5000/graphql,7,0,1
1599990738486,6,Query 1 MongoDB,200,OK,Groep 1 1-1,text,true,,225,277,1,1,http://localhost:5000/graphql,6,0,1
1599990738493,5,Query 1 MongoDB,200,OK,Groep 1 1-1,text,true,,225,277,1,1,http://localhost:5000/graphql,5,0,1
1599990738499,11,Query 1 MongoDB,200,OK,Groep 1 1-1,text,true,,225,277,1,1,http://localhost:5000/graphql,10,0,0
1599990738510,7,Query 1 MongoDB,200,OK,Groep 1 1-1,text,true,,225,277,1,1,http://localhost:5000/graphql,7,0,1
1599990738518,5,Query 1 MongoDB,200,OK,Groep 1 1-1,text,true,,225,277,1,1,http://localhost:5000/graphql,5,0,1
1599990738524,8,Query 1 MongoDB,200,OK,Groep 1 1-1,text,true,,225,277,1,1,http://localhost:5000/graphql,8,0,1
1599990738532,22,Query 1 MongoDB,200,OK,Groep 1 1-1,text,true,,225,277,1,1,http://localhost:5000/graphql,22,0,6
